Journal-Voucher-Type-Code,DepartmentNumber,Fiscal-Month,Journal-Voucher-Item-Identifier,Subleger-Account-Identifier,Credit/Debit-Code,Journal-Voucher-Item-Amount,Control-Data-Type,Accounting-Summary-Transaction-Line,Year,Month,Day
JVFIR,97.0,1.0,1.0,Unknown,DR,6563247.33,JMT,1.0,2023.0,4.0,3.0
JVIVI,6.0,1.0,1.0,60000.0,CR,24032.18,CMD,3.0,2023.0,4.0,3.0
GCMO,6.0,12.0,1.0,Unknown,DR,0.08,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,2.0,60000.0,CR,0.08,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,3.0,Unknown,DR,37601444.6,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,4.0,60000.0,CR,37601444.6,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,5.0,Unknown,DR,15386182.6,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,6.0,60000.0,CR,15386182.6,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,7.0,Unknown,CR,6184370244.97,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,8.0,60000.0,DR,6184370244.97,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,9.0,Unknown,DR,5882063362.45,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,10.0,60000.0,CR,5882063362.45,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,11.0,Unknown,DR,31389880.04,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,12.0,60000.0,CR,31389880.04,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,13.0,Unknown,DR,7479492.35,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,14.0,60000.0,CR,7479492.35,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,15.0,Unknown,CR,1739.27,Unknown,1.0,2023.0,4.0,4.0
GCMO,6.0,12.0,16.0,60000.0,DR,1739.27,Unknown,1.0,2023.0,4.0,4.0
FMSPM,97.0,12.0,1.0,Unknown,DR,416433815.4,JOD,1.0,2023.0,4.0,4.0
RMSCM,97.0,12.0,1.0,Unknown,DR,327688792.79,JOE,1.0,2023.0,4.0,4.0
EPAYR,97.0,1.0,1.0,Unknown,DR,6061487.99,JMR,14.0,2023.0,4.0,3.0
JVBDP,97.0,1.0,1.0,Unknown,DR,6880007429.46,JMY,78.0,2023.0,4.0,3.0
JVBRC,6.0,1.0,1.0,60000.0,DR,362067465.75,CMJ,1.0,2023.0,4.0,3.0
JVRDI,6.0,1.0,1.0,60000.0,DR,422030.59,CMI,20.0,2023.0,4.0,3.0
JVRGI,97.0,1.0,1.0,Unknown,DR,4528876151.02,JMG,46.0,2023.0,4.0,3.0
RDBOA,97.0,1.0,1.0,Unknown,DR,124020835.15,JND,3.0,2023.0,4.0,3.0
JVLVP,97.0,1.0,1.0,Unknown,DR,7042566935.46,JML,2.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,147004.0,DR,687.56,COK,1.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,147005.0,DR,4778.56,COK,3.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,147007.0,DR,502.31,COK,1.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,147010.0,DR,1543.28,COK,1.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,147025.0,DR,600.11,COK,2.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,147030.0,DR,557.87,COK,1.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,147462.0,DR,6110.0,COK,1.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,148444.0,DR,826.0,COK,1.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,148460.0,DR,508.0,COK,1.0,2023.0,4.0,3.0
ADEPT,14.0,1.0,1.0,148477.0,DR,643.0,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1220382.0,DR,2352.72,COK,2.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1220581.0,DR,386.93,COK,5.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1220582.0,DR,56.66,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1220583.0,DR,67.68,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1221490.0,DR,140.0,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1221491.0,DR,222.19,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1221494.0,DR,406.25,COK,4.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1221500.0,DR,403.21,COK,4.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1221585.0,DR,420.71,COK,2.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1221587.0,DR,288.87,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1221887.0,DR,3048.09,COK,4.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1224390.0,DR,186.5,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1224394.0,DR,456.25,COK,2.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1224395.0,DR,373.0,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1224791.0,DR,153.0,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1228800.0,DR,100.0,COK,1.0,2023.0,4.0,3.0
ADEPT,122.0,1.0,1.0,1228891.0,DR,1945.66,COK,2.0,2023.0,4.0,3.0
DOMFR,14.0,1.0,1.0,147020.0,CR,144.53,COK,1.0,2023.0,4.0,3.0
DOMFR,14.0,1.0,1.0,147023.0,CR,425.78,COK,1.0,2023.0,4.0,3.0
DOMFR,14.0,1.0,1.0,148477.0,CR,1702.0,COK,2.0,2023.0,4.0,3.0
DOMFR,14.0,1.0,1.0,148488.0,CR,802.0,COK,1.0,2023.0,4.0,3.0
DOMFR,122.0,1.0,1.0,1220581.0,CR,61.7,COK,1.0,2023.0,4.0,3.0
DOMFR,122.0,1.0,1.0,1221491.0,CR,367.88,COK,2.0,2023.0,4.0,3.0
DOMFR,122.0,1.0,1.0,1221494.0,CR,110.21,COK,1.0,2023.0,4.0,3.0
DOMFR,122.0,1.0,1.0,1221887.0,CR,275.42,COK,1.0,2023.0,4.0,3.0
DOMFR,122.0,1.0,1.0,1222509.0,CR,1098.1,COK,2.0,2023.0,4.0,3.0
DOMFR,122.0,1.0,1.0,1224752.0,CR,630.52,COK,2.0,2023.0,4.0,3.0
DOMFR,122.0,1.0,1.0,1224794.0,CR,166.0,COK,1.0,2023.0,4.0,3.0
JVEFI,5.0,1.0,1.0,50050.0,CR,140997.19,CMC,2.0,2023.0,4.0,4.0
JVEFI,7.0,1.0,1.0,70099.0,CR,902.05,CMC,1.0,2023.0,4.0,4.0
JVEFI,54.0,1.0,1.0,540001.0,CR,767.74,CMC,1.0,2023.0,4.0,4.0
JVEFI,163.0,1.0,1.0,1634019.0,CR,616.97,CMC,1.0,2023.0,4.0,4.0
JVEFI,5.0,1.0,1.0,50050.0,CR,2374.47,CMC,1.0,2023.0,4.0,4.0
JVEFI,5.0,1.0,1.0,50054.0,CR,3425.38,CMC,4.0,2023.0,4.0,4.0
JVEFI,18.0,1.0,1.0,180125.0,CR,1835.81,CMC,3.0,2023.0,4.0,4.0
JVEFI,18.0,1.0,1.0,180152.0,CR,7214387.4,CMC,1.0,2023.0,4.0,4.0
JVEFI,18.0,1.0,1.0,182182.0,CR,648.58,CMC,1.0,2023.0,4.0,4.0
JVEFI,18.0,1.0,1.0,186369.0,CR,4390.77,CMC,2.0,2023.0,4.0,4.0
JVEFI,18.0,1.0,1.0,186635.0,CR,1274.05,CMC,1.0,2023.0,4.0,4.0
JVEFI,122.0,1.0,1.0,1221899.0,CR,2474.71,CMC,2.0,2023.0,4.0,4.0
JVEFI,1.0,1.0,1.0,12020.0,CR,16982.22,CMC,1.0,2023.0,4.0,4.0
JVEFI,1.0,1.0,1.0,13020.0,CR,950.69,CMC,1.0,2023.0,4.0,4.0
JVEFI,5.0,1.0,1.0,50054.0,CR,2525.83,CMC,15.0,2023.0,4.0,4.0
JVEFI,7.0,1.0,1.0,70099.0,CR,4081.86,CMC,1.0,2023.0,4.0,4.0
JVEFI,18.0,1.0,1.0,180125.0,CR,645.52,CMC,1.0,2023.0,4.0,4.0
JVEFI,18.0,1.0,1.0,182182.0,CR,1224.59,CMC,1.0,2023.0,4.0,4.0
JVEFI,41.0,1.0,1.0,410900.0,CR,1299.18,CMC,1.0,2023.0,4.0,4.0
JVEFI,86.0,1.0,1.0,860100.0,CR,705.49,CMC,1.0,2023.0,4.0,4.0
JVEFI,163.0,1.0,1.0,1634019.0,CR,42397.03,CMC,1.0,2023.0,4.0,4.0
JVFID,97.0,1.0,1.0,Unknown,DR,7454.33,JMU,1.0,2023.0,4.0,4.0
JVFIR,97.0,1.0,1.0,Unknown,DR,124806325.32,JMT,1.0,2023.0,4.0,4.0
JVFIR,97.0,1.0,1.0,Unknown,DR,704938817.75,JMT,1.0,2023.0,4.0,4.0
JVFIR,97.0,1.0,1.0,Unknown,DR,10798895.71,JMT,1.0,2023.0,4.0,4.0
JVFRD,97.0,1.0,1.0,Unknown,DR,1292.68,JMV,1.0,2023.0,4.0,3.0
JVIVI,6.0,1.0,1.0,60000.0,CR,17672.18,CMD,3.0,2023.0,4.0,4.0
JVIVR,6.0,1.0,1.0,60000.0,CR,360.84,CMF,1.0,2023.0,4.0,3.0
SUSPD,6.0,1.0,1.0,60000.0,CR,1785454.27,CMB,1.0,2023.0,4.0,3.0
SUSPD,6.0,1.0,1.0,60000.0,CR,77938320.46,CMB,6.0,2023.0,4.0,4.0
UNSPD,6.0,1.0,1.0,60000.0,DR,1296975.32,CMA,7.0,2023.0,4.0,3.0
RGEPA,97.0,1.0,1.0,Unknown,DR,4117867436.85,JMZ,1.0,2023.0,4.0,3.0
RDPCM,97.0,12.0,1.0,Unknown,DR,4544610931.81,JMZ,1.0,2023.0,4.0,5.0
RDPCM,97.0,12.0,1.0,Unknown,DR,0.78,JMZ,1.0,2023.0,4.0,5.0
RDPCM,97.0,12.0,1.0,Unknown,CR,2.48,JMZ,1.0,2023.0,4.0,5.0
RGEIC,97.0,12.0,1.0,Unknown,CR,400.0,JNC,1.0,2023.0,4.0,5.0
EPAYR,97.0,1.0,1.0,Unknown,DR,4041496.72,JMR,17.0,2023.0,4.0,4.0
JVBDP,97.0,1.0,1.0,Unknown,DR,5132358210.07,JMY,75.0,2023.0,4.0,4.0
JVRDI,6.0,1.0,1.0,60000.0,DR,278947.89,CMI,20.0,2023.0,4.0,4.0
JVRGI,97.0,1.0,1.0,Unknown,DR,2243695913.99,JMG,88.0,2023.0,4.0,4.0
RDBOA,97.0,1.0,1.0,Unknown,DR,833081459.07,JND,3.0,2023.0,4.0,4.0
JVLVP,97.0,1.0,1.0,Unknown,DR,546786676.68,JML,2.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147004.0,DR,687.56,COK,1.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147005.0,DR,3041.46,COK,2.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147007.0,DR,3171.96,COK,4.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147009.0,DR,1297.28,COK,1.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147010.0,DR,1044.17,COK,2.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147011.0,DR,2060.62,COK,1.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147025.0,DR,2134.09,COK,3.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147027.0,DR,795.69,COK,1.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147028.0,DR,408.14,COK,1.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147029.0,DR,1679.53,COK,2.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147030.0,DR,3724.69,COK,4.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,147031.0,DR,1216.27,COK,1.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,148455.0,DR,500.0,COK,1.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,148460.0,DR,1042.0,COK,2.0,2023.0,4.0,4.0
ADEPT,14.0,1.0,1.0,148477.0,DR,633.0,COK,1.0,2023.0,4.0,4.0
ADEPT,79.0,1.0,1.0,794223.0,DR,3817.69,COK,2.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1220382.0,DR,3247.11,COK,4.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1220581.0,DR,725.48,COK,3.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1220582.0,DR,76.82,COK,1.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1221491.0,DR,688.5,COK,2.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1221494.0,DR,753.18,COK,7.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1221500.0,DR,87.57,COK,1.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1221596.0,DR,774.28,COK,2.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1221887.0,DR,1658.08,COK,2.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1222509.0,DR,3900.76,COK,4.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1223694.0,DR,664.95,COK,1.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1224394.0,DR,249.25,COK,2.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1224395.0,DR,539.0,COK,1.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1224793.0,DR,2672.0,COK,1.0,2023.0,4.0,4.0
ADEPT,122.0,1.0,1.0,1224826.0,DR,40188.46,COK,1.0,2023.0,4.0,4.0
DOMFR,14.0,1.0,1.0,147025.0,CR,2500.0,COK,1.0,2023.0,4.0,4.0
DOMFR,14.0,1.0,1.0,148455.0,CR,1030.0,COK,2.0,2023.0,4.0,4.0
DOMFR,122.0,1.0,1.0,1222490.0,CR,2807.8,COK,1.0,2023.0,4.0,4.0
JVEFI,35.0,1.0,1.0,350000.0,CR,6259.13,CMC,3.0,2023.0,4.0,5.0
JVEFI,163.0,1.0,1.0,1634019.0,CR,503.63,CMC,1.0,2023.0,4.0,5.0
JVEFI,165.0,1.0,1.0,1651651.0,DR,1282.5,CMC,1.0,2023.0,4.0,5.0
JVEFI,5.0,1.0,1.0,50050.0,CR,1646.72,CMC,2.0,2023.0,4.0,5.0
JVEFI,5.0,1.0,1.0,50054.0,CR,1860.75,CMC,2.0,2023.0,4.0,5.0
JVEFI,18.0,1.0,1.0,181677.0,DR,7110.74,CMC,1.0,2023.0,4.0,5.0
JVEFI,18.0,1.0,1.0,181941.0,CR,2148.45,CMC,2.0,2023.0,4.0,5.0
JVEFI,18.0,1.0,1.0,182182.0,CR,10809.48,CMC,2.0,2023.0,4.0,5.0
JVEFI,18.0,1.0,1.0,182183.0,CR,1192.09,CMC,1.0,2023.0,4.0,5.0
JVEFI,18.0,1.0,1.0,182184.0,CR,17048.92,CMC,1.0,2023.0,4.0,5.0
JVEFI,18.0,1.0,1.0,183132.0,CR,1702.35,CMC,1.0,2023.0,4.0,5.0
JVEFI,18.0,1.0,1.0,189518.0,CR,761.56,CMC,1.0,2023.0,4.0,5.0
JVEFI,33.0,1.0,1.0,330000.0,CR,3520.88,CMC,3.0,2023.0,4.0,5.0
JVEFI,5.0,1.0,1.0,50054.0,DR,2299.51,CMC,2.0,2023.0,4.0,5.0
JVEFI,18.0,1.0,1.0,183048.0,CR,2247.06,CMC,1.0,2023.0,4.0,5.0
JVEFI,35.0,1.0,1.0,350000.0,CR,1289.77,CMC,1.0,2023.0,4.0,5.0
JVEFI,41.0,1.0,1.0,410900.0,CR,5166.91,CMC,2.0,2023.0,4.0,5.0
JVEFI,86.0,1.0,1.0,860100.0,CR,1647.26,CMC,1.0,2023.0,4.0,5.0
JVEFI,165.0,1.0,1.0,1651651.0,DR,10968.91,CMC,2.0,2023.0,4.0,5.0
JVFID,97.0,1.0,1.0,Unknown,DR,4594.04,JMU,1.0,2023.0,4.0,5.0
JVFIR,97.0,1.0,1.0,Unknown,DR,7479088.56,JMT,1.0,2023.0,4.0,5.0
JVFIR,97.0,1.0,1.0,Unknown,DR,61660583.51,JMT,1.0,2023.0,4.0,5.0
JVFIR,97.0,1.0,1.0,Unknown,DR,12102098.2,JMT,1.0,2023.0,4.0,5.0
JVIVI,6.0,1.0,1.0,60000.0,CR,10712.2,CMD,3.0,2023.0,4.0,5.0
JVIVR,6.0,1.0,1.0,60000.0,CR,2.29,CMF,1.0,2023.0,4.0,4.0
RGEPA,97.0,1.0,1.0,Unknown,DR,1080184618.76,JMZ,1.0,2023.0,4.0,4.0
EPAYR,97.0,1.0,1.0,Unknown,DR,2308172.95,JMR,15.0,2023.0,4.0,5.0
JVBDP,97.0,1.0,1.0,Unknown,DR,11113586058.99,JMY,83.0,2023.0,4.0,5.0
JVBRT,6.0,1.0,1.0,60000.0,DR,2271675.5,CMT,1.0,2023.0,4.0,5.0
JVRDI,6.0,1.0,1.0,60000.0,DR,88143.11,CMI,27.0,2023.0,4.0,5.0
JVRGI,97.0,1.0,1.0,Unknown,DR,2732250467.34,JMG,63.0,2023.0,4.0,5.0
RDBOA,97.0,1.0,1.0,Unknown,DR,81194914.77,JND,3.0,2023.0,4.0,5.0
JVLVP,97.0,1.0,1.0,Unknown,DR,651073703.73,JML,2.0,2023.0,4.0,5.0
ADEPT,14.0,1.0,1.0,148455.0,DR,1000.0,COK,1.0,2023.0,4.0,5.0
ADEPT,79.0,1.0,1.0,794221.0,DR,1782.98,COK,1.0,2023.0,4.0,5.0
DOMFR,14.0,1.0,1.0,147029.0,CR,907.36,COK,1.0,2023.0,4.0,5.0
DOMFR,122.0,1.0,1.0,1221497.0,CR,116.75,COK,1.0,2023.0,4.0,5.0
JVEFI,41.0,1.0,1.0,410900.0,CR,7367.95,CMC,1.0,2023.0,4.0,6.0
JVEFI,127.0,1.0,1.0,1277080.0,CR,621.72,CMC,1.0,2023.0,4.0,6.0
JVEFI,148.0,1.0,1.0,1482100.0,CR,1053.22,CMC,1.0,2023.0,4.0,6.0
JVEFI,5.0,1.0,1.0,50050.0,CR,1770.66,CMC,2.0,2023.0,4.0,6.0
JVEFI,5.0,1.0,1.0,50054.0,CR,7971.31,CMC,10.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,180045.0,CR,6704.8,CMC,1.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,180103.0,CR,1730.77,CMC,2.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,180125.0,CR,811.84,CMC,1.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,181941.0,DR,45843.72,CMC,1.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,182182.0,CR,247639.11,CMC,7.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,182184.0,CR,77701.92,CMC,11.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,183048.0,CR,517.68,CMC,1.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,186369.0,DR,873.32,CMC,1.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,186451.0,CR,4374.67,CMC,3.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,188160.0,CR,640.6,CMC,1.0,2023.0,4.0,6.0
JVEFI,148.0,1.0,1.0,1482100.0,CR,11141.04,CMC,1.0,2023.0,4.0,6.0
JVEFI,5.0,1.0,1.0,50054.0,CR,18685.06,CMC,8.0,2023.0,4.0,6.0
JVEFI,18.0,1.0,1.0,186369.0,CR,1225.71,CMC,1.0,2023.0,4.0,6.0
JVEFI,22.0,1.0,1.0,229000.0,CR,4840.63,CMC,1.0,2023.0,4.0,6.0
JVEFI,30.0,1.0,1.0,301612.0,CR,3054.7,CMC,2.0,2023.0,4.0,6.0
JVEFI,33.0,1.0,1.0,330000.0,CR,6198.24,CMC,1.0,2023.0,4.0,6.0
JVEFI,67.0,1.0,1.0,670067.0,CR,1542.57,CMC,1.0,2023.0,4.0,6.0
JVEFI,85.0,1.0,1.0,853910.0,CR,1886.43,CMC,1.0,2023.0,4.0,6.0
JVEFI,148.0,1.0,1.0,1482100.0,CR,20788.41,CMC,3.0,2023.0,4.0,6.0
JVEFI,165.0,1.0,1.0,1651651.0,CR,1303.89,CMC,1.0,2023.0,4.0,6.0
JVEFR,18.0,1.0,1.0,180125.0,CR,1415.39,CME,1.0,2023.0,4.0,5.0
JVFID,97.0,1.0,1.0,Unknown,DR,12312.6,JMU,1.0,2023.0,4.0,6.0
JVFIR,97.0,1.0,1.0,Unknown,DR,3605903.27,JMT,1.0,2023.0,4.0,6.0
JVFIR,97.0,1.0,1.0,Unknown,DR,82969176.54,JMT,1.0,2023.0,4.0,6.0
JVFIR,97.0,1.0,1.0,Unknown,DR,8766730.61,JMT,1.0,2023.0,4.0,6.0
JVFRD,97.0,1.0,1.0,Unknown,DR,5090.0,JMV,1.0,2023.0,4.0,5.0
JVIVI,6.0,1.0,1.0,60000.0,CR,19539.57,CMD,3.0,2023.0,4.0,6.0
RGEPA,97.0,1.0,1.0,Unknown,DR,2396852216.94,JMZ,1.0,2023.0,4.0,5.0
EPAYR,97.0,1.0,1.0,Unknown,DR,6089655.8,JMR,15.0,2023.0,4.0,6.0
JVBDP,97.0,1.0,1.0,Unknown,DR,4771498031.21,JMY,72.0,2023.0,4.0,6.0
JVBRT,6.0,1.0,1.0,60000.0,DR,79460000.0,CMT,1.0,2023.0,4.0,6.0
JVRDI,6.0,1.0,1.0,60000.0,CR,6420.99,CMI,15.0,2023.0,4.0,6.0
JVRGI,97.0,1.0,1.0,Unknown,DR,2852772745.61,JMG,64.0,2023.0,4.0,6.0
RDBOA,97.0,1.0,1.0,Unknown,DR,95020936.58,JND,4.0,2023.0,4.0,6.0
JVLVP,97.0,1.0,1.0,Unknown,DR,4248454681.41,JML,2.0,2023.0,4.0,6.0
ADEPT,14.0,1.0,1.0,147005.0,DR,666.83,COK,1.0,2023.0,4.0,6.0
ADEPT,14.0,1.0,1.0,147008.0,DR,2742.53,COK,3.0,2023.0,4.0,6.0
ADEPT,14.0,1.0,1.0,147021.0,DR,239.43,COK,1.0,2023.0,4.0,6.0
ADEPT,14.0,1.0,1.0,147031.0,DR,440.47,COK,1.0,2023.0,4.0,6.0
ADEPT,14.0,1.0,1.0,148477.0,DR,1116.0,COK,1.0,2023.0,4.0,6.0
ADEPT,14.0,1.0,1.0,148488.0,DR,411.0,COK,1.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1220381.0,DR,382.13,COK,1.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1220383.0,DR,1791.16,COK,1.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1220386.0,DR,500.0,COK,1.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1220581.0,DR,443.41,COK,5.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1220583.0,DR,100.77,COK,1.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1221491.0,DR,1566.37,COK,7.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1221494.0,DR,494.41,COK,5.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1221497.0,DR,233.5,COK,2.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1221500.0,DR,253.0,COK,1.0,2023.0,4.0,6.0
ADEPT,122.0,1.0,1.0,1221585.0,DR,939.11,COK,5.0,2023.0,4.0,6.0
